iter	Passed	Remaining
417	2721	3788
418	2727	3781
419	2733	3774
420	2738	3766
421	2744	3759
422	2750	3751
423	2756	3744
424	2760	3734
425	2765	3726
426	2771	3718
427	2777	3712
428	2783	3705
429	2790	3698
430	2796	3692
431	2802	3685
432	2808	3677
433	2814	3670
434	2820	3663
435	2826	3656
436	2833	3649
437	2839	3642
438	2844	3635
439	2848	3624
440	2853	3617
441	2859	3610
442	2865	3603
443	2872	3596
444	2878	3590
445	2885	3584
446	2891	3577
447	2898	3571
448	2905	3565
449	2911	3558
450	2917	3551
451	2924	3545
452	2930	3538
453	2937	3532
454	2943	3525
455	2950	3519
456	2956	3512
457	2962	3505
458	2968	3499
459	2975	3492
460	2981	3485
461	2987	3478
462	2993	3472
463	2999	3464
464	3005	3457
465	3012	3451
466	3018	3444
467	3025	3438
468	3031	3432
469	3038	3426
470	3044	3419
471	3051	3413
472	3058	3407
473	3065	3401
474	3071	3394
475	3078	3388
476	3084	3382
477	3091	3375
478	3097	3369
479	3103	3362
480	3110	3356
481	3118	3351
482	3124	3344
483	3131	3338
484	3138	3332
485	3144	3325
486	3150	3318
487	3156	3312
488	3163	3305
489	3169	3298
490	3175	3291
491	3181	3284
492	3187	3277
493	3193	3271
494	3199	3264
495	3206	3257
496	3212	3251
497	3218	3244
498	3225	3238
499	3231	3231
500	3237	3224
501	3242	3217
502	3248	3210
503	3255	3203
504	3261	3196
505	3267	3189
506	3273	3182
507	3278	3175
508	3284	3168
509	3290	3161
510	3296	3154
511	3303	3148
512	3309	3141
513	3315	3134
514	3322	3128
515	3328	3121
516	3334	3115
517	3340	3108
518	3346	3101
519	3353	3095
520	3359	3088
521	3365	3081
522	3371	3075
523	3377	3068
524	3384	3062
525	3390	3055
526	3396	3048
527	3402	3041
528	3408	3035
529	3415	3028
530	3422	3022
531	3428	3015
532	3434	3008
533	3439	3001
534	3445	2994
535	3451	2987
536	3457	2981
537	3463	2974
538	3469	2967
539	3475	2960
540	3481	2953
541	3487	2946
542	3493	2940
543	3499	2933
544	3505	2926
545	3512	2920
546	3518	2913
547	3525	2907
548	3531	2901
549	3537	2894
550	3543	2887
551	3549	2881
552	3556	2875
553	3562	2868
554	3568	2861
555	3574	2854
556	3580	2848
557	3588	2842
558	3593	2835
559	3599	2828
560	3605	2821
561	3611	2814
562	3617	2807
563	3623	2801
564	3629	2794
565	3635	2787
566	3641	2780
567	3647	2773
568	3652	2766
569	3658	2759
570	3664	2753
571	3670	2746
572	3676	2739
573	3682	2732
574	3687	2725
575	3693	2718
576	3699	2712
577	3705	2705
578	3711	2699
579	3718	2692
580	3724	2685
581	3730	2679
582	3736	2672
583	3741	2665
584	3748	2658
585	3754	2652
586	3759	2645
587	3765	2638
588	3772	2632
589	3778	2625
590	3785	2619
591	3791	2612
592	3796	2605
593	3802	2598
594	3808	2592
595	3813	2585
596	3819	2578
597	3826	2572
598	3832	2565
599	3838	2558
600	3844	2552
601	3850	2545
602	3856	2539
603	3863	2533
604	3869	2526
605	3875	2519
606	3882	2513
607	3888	2507
608	3895	2501
609	3901	2494
610	3908	2488
611	3915	2482
612	3921	2475
613	3927	2469
614	3934	2462
615	3941	2456
616	3947	2450
617	3953	2443
618	3959	2437
619	3966	2431
620	3973	2424
621	3979	2418
622	3986	2412
623	3992	2405
624	3998	2399
625	4005	2393
626	4012	2386
627	4019	2380
628	4025	2374
629	4032	2368
630	4039	2362
631	4045	2355
632	4051	2349
633	4058	2342
634	4065	2336
635	4073	2331
636	4079	2324
637	4085	2318
638	4092	2311
639	4098	2305
640	4106	2299
641	4112	2293
642	4118	2286
643	4124	2280
644	4131	2273
645	4138	2267
646	4144	2261
647	4150	2254
648	4157	2248
649	4164	2242
650	4171	2236
651	4177	2229
652	4183	2223
653	4190	2216
654	4197	2210
655	4202	2203
656	4209	2197
657	4215	2190
658	4221	2184
659	4227	2177
660	4234	2171
661	4241	2165
662	4246	2158
663	4252	2151
664	4258	2145
665	4264	2138
666	4271	2132
667	4276	2125
668	4282	2119
669	4288	2112
670	4294	2105
671	4300	2098
672	4305	2091
673	4310	2084
674	4316	2078
675	4322	2071
676	4329	2065
677	4335	2059
678	4341	2052
679	4348	2046
680	4354	2039
681	4361	2033
682	4367	2027
683	4374	2021
684	4382	2015
685	4388	2008
686	4395	2002
687	4402	1996
688	4408	1989
689	4415	1983
690	4421	1977
691	4428	1970
692	4434	1964
693	4440	1958
694	4447	1951
695	4453	1945
696	4460	1939
697	4467	1932
698	4473	1926
699	4479	1919
700	4486	1913
701	4493	1907
702	4499	1901
703	4505	1894
704	4511	1887
705	4517	1881
706	4523	1874
707	4529	1868
708	4535	1861
709	4541	1855
710	4547	1848
711	4554	1842
712	4561	1835
713	4567	1829
714	4574	1823
715	4580	1816
716	4586	1810
717	4593	1804
718	4599	1797
719	4605	1791
720	4612	1784
721	4618	1778
722	4624	1771
723	4631	1765
724	4638	1759
725	4644	1752
726	4651	1746
727	4656	1739
728	4663	1733
729	4670	1727
730	4676	1720
731	4682	1714
732	4688	1707
733	4694	1701
734	4700	1694
735	4706	1688
736	4712	1681
737	4716	1674
738	4721	1667
739	4727	1660
740	4733	1654
741	4738	1647
742	4744	1641
743	4750	1634
744	4757	1628
745	4763	1622
746	4770	1615
747	4776	1609
748	4783	1603
749	4789	1596
750	4796	1590
751	4801	1583
752	4807	1577
753	4814	1570
754	4820	1564
755	4826	1557
756	4831	1551
757	4838	1544
758	4844	1538
759	4851	1532
760	4857	1525
761	4863	1518
762	4869	1512
763	4875	1505
764	4881	1499
765	4887	1493
766	4893	1486
767	4899	1480
768	4905	1473
769	4910	1466
770	4917	1460
771	4923	1453
772	4929	1447
773	4934	1440
774	4940	1434
775	4946	1427
776	4952	1421
777	4959	1415
778	4965	1408
779	4972	1402
780	4977	1395
781	4983	1389
782	4990	1383
783	4996	1376
784	5003	1370
785	5009	1363
786	5015	1357
787	5022	1351
788	5027	1344
789	5034	1338
790	5039	1331
791	5045	1325
792	5051	1318
793	5057	1312
794	5064	1305
795	5070	1299
796	5076	1293
797	5082	1286
798	5088	1280
799	5095	1273
800	5100	1267
801	5106	1260
802	5113	1254
803	5119	1248
804	5126	1241
805	5132	1235
806	5138	1228
807	5144	1222
808	5151	1216
809	5158	1210
810	5165	1203
811	5172	1197
812	5178	1191
813	5184	1184
814	5190	1178
815	5197	1172
816	5204	1165
817	5211	1159
818	5218	1153
819	5225	1146
820	5231	1140
821	5238	1134
822	5244	1128
823	5251	1121
824	5257	1115
825	5264	1108
826	5271	1102
827	5278	1096
828	5285	1090
829	5292	1083
830	5298	1077
831	5306	1071
832	5312	1065
833	5319	1058
834	5326	1052
835	5333	1046
836	5339	1039
837	5346	1033
838	5353	1027
